保管成本指在保管过程中为保管物品而发生的全部费用。,保管成本指在保管过程中为保管物品而发生的全部费用。,10
运输方式按运输设备及运输工具可分为：公路运输；铁路运输；水路运输和航空运输；,运输方式按运输设备及运输工具可分为：公路运输；铁路运输；水路运输和航空运输；,10
配送中心：为了顺利、有序、方便地向客户发送商品，对组织来的各种货物进行整理，并依据订单要求进行组合的过程。,配送中心：为了顺利、有序、方便地向客户发送商品，对组织来的各种货物进行整理，并依据订单要求进行组合的过程。,10
绩效管理是指各级管理者和员工为了达到组织目标共同参与的绩效计划制定、绩效实施、绩效评价、绩效评估结果应用、绩效目标提升的持续循环过程，以持续提升个人和组织的绩效。,绩效管理是指各级管理者和员工为了达到组织目标共同参与的绩效计划制定、绩效实施、绩效评价、绩效评估结果应用、绩效目标提升的持续循环过程，以持续提升个人和组织的绩效。,10
盘点作业应考虑的问题有：A盘点中，实际存量和账面存量的差异是多少？B这些差异是发生在哪些品项？C每次循环盘点中，有几次确实存在误差？D平均每品项货品发生误差的次数是多少？,盘点作业应考虑的问题有：A盘点中，实际存量和账面存量的差异是多少？B这些差异是发生在哪些品项？C每次循环盘点中，有几次确实存在误差？D平均每品项货品发生误差的次数是多少？,10
出库作业管理包括：波次运算；补货；拣选；复核包装；集货；发货,出库作业管理包括：波次运算；补货；拣选；复核包装；集货；发货,10
库区布局是指一个仓库的各个组成部分，如库存、货棚、货场、辅助建筑物、铁路专运线、库内道路、附属固定设备等。,库区布局是指一个仓库的各个组成部分，如库存、货棚、货场、辅助建筑物、铁路专运线、库内道路、附属固定设备等。,10
按货架的适用性分类：通用货架、专用货架,按货架的适用性分类：通用货架,5
WCS 是仓库控制系统(Warehouse Control System) 的缩写。WCS是介于WMS系统和PLC系统之间的一层管理控制系统。,WCS 是仓库控制系统(Warehouse Control System) 的缩写。WCS是介于WMS系统和PLC系统之间的一层管理控制系统。,10
装卸搬运作业成本分析与控制包括：合理选择装卸搬运机具；提高物品装卸搬运的活性化与可运性；利用重力作用，减少能量消耗；合理选择装卸搬运方式；改进装卸搬运作业方法。,装卸搬运作业成本分析与控制包括：合理选择装卸搬运机具；提高物品装卸搬运的活性化与可运性；利用重力作用，减少能量消耗；合理选择装卸搬运方式；改进装卸搬运作业方法。,10
按单拣选产生的问题：商品品种多时，拣货行走路线过长，拣取效率低；    拣取区域大时，搬运系统设计困难；少量、多批次拣取时，会造 成拣货路径重复费高，效率降低。,商品品种多时，拣货行走路线过长，拣取效率低；拣货路径重复费高，效率降低。,5
配货检查的方法包括：人工检查法、条码检查法、声音输入检查法、重量计算检查法。,配货检查的方法包括：人工检查法、条码检查法、声音输入检查法、重量计算检查法。,10
配送作业活动以客户发出的订货信息作为配送作业的驱动源。,配送作业活动以客户发出的订货信息作为配送作业的驱动源。,10
物品出库作业：它是仓储经营人根据存货人或仓单持有人所持有的仓单，按其所列物品的编号、名称、规格、型号、数量等项目，组织物品出库的一系列活动。,物品出库作业：它是仓储经营人根据存货人或仓单持有人所持有的仓单，按其所列物品的编号、名称、规格、型号、数量等项目，组织物品出库的一系列活动。,10
DBMS是一种操作和管理数据库的大型软件，可用于建立、使用和维护数据库。物流系统中的库存、货位、入出库记录等重要数据都是通过DBMS管理的。,DBMS是一种操作和管理数据库的大型软件，可用于建立、使用和维护数据库。物流系统中的库存、货位、入出库记录等重要数据都是通过DBMS管理的。,10
正确且迅速地集合客户所订购的货品是拣货的目的。,正确且迅速地集合客户所订购的货品是拣货的目的。,10
机械安全作业要求：在符合许可范围内操作；使用合适器械作业；设备作业要有专人指挥。,机械安全作业要求：在符合许可范围内操作；使用合适器械作业；设备作业要有专人指挥。,10
配送要素包括：集货、储存、分拣和拣选、配货、配装、配送运输、送达服务。,配送要素：集货、储存、分拣和拣选、配货、配装、配送运输、送达服务。,10
盘点的原则包括：真实、准确、完整、清楚。,盘点的原则：真实、准确、完整、清楚。,10
储位编码：是指将库房、货场、货棚、货架按物品存放的具体位置顺序，统一编列号码，并作出明显标志。,储位编码：是指将库房、货场、货棚、货架按物品存放的具体位置顺序，统一编列号码，并作出明显标志。,10
拣货单位是指拣货作业中拣取货物的包装单位。订货单位合理化主要是避免过小单位出现在订单中，减少作业量与误差，如订货的最小单位是箱，则不要以单品为拣货单位。  ,拣货单位是指拣货作业中拣取货物的包装单位。订货单位合理化主要是避免过小单位出现在订单中，减少作业量。,7
配送作业活动是以客户发出的订货信息（即订单）作为配送作业的驱动源的。,配送作业活动是以客户发出的订货信息（即订单）作为配送作业的驱动源的。,10
重心法的缺点有：一般此法是根据可变成本来进行选址的，没有区分在不同地点物流配送中心或网点所需资本成本的差异；该方法假设运费随距离呈线性变化，而实际生活中运费常常是随距离增大而递减；配送中心和其他网络节点之间的路线通常假定为直线，且被选地址是连续的，这都不符合实际情况。,重心法的缺点有：一般此法是根据可变成本来进行选址的，没有区分在不同地点物流配送中心或网点所需资本成本的差异；该方法假设运费随距离呈线性变化，而实际生活中运费常常是随距离增大而递减；配送中心和其他网络节点之间的路线通常假定为直线，且被选地址是连续的，这都不符合实际情况。,10
垛牌的内容有货位号、物品名称、规格、制造日期等。,垛牌的内容有货位号、物品名称、规格、制造日期等。,10
配送中的储存形态有储备及暂存。 储备数量较大，更加有计划性。暂存是具体执行日配送时，按分拣配货要求，在理货场地所做的少量储存准备 。,配送中的储存形态有储备及暂存。 储备数量较大，更加有计划性。暂存是具体执行日配送时，按分拣配货要求，在理货场地所做的少量储存准备 。,10
无线射频识别（RFID）是通过一种无线电讯号和微芯片标签识别特定目标并读写相关数据的通讯技术。,无线射频识别（RFID）是通过一种无线电讯号和微芯片标签识别特定目标并读写相关数据的通讯技术。,10
仓储管理系统中基础数据管理包括：用户数据；部门数据；货位数据；客户主数据；物流主数据；订单类数据；其他数据,仓储管理系统中基础数据管理包括以下内容：用户数据；部门数据；货位数据；客户主数据；物流主数据；订单类数据；其他数据,10
物品出库要做到“三不、三核、五检查” 。,物品出库要做到“三不、三核、五检查” 。,10
空间利用率是进出货作业绩效评估的指标,进出货作业绩效评估指标——空间利用率,10
托盘是物流过程中承载货物的集装单元化工具之一，是与搬运装卸机械配套使用的重要的集装器具。,托盘是物流过程中承载货物的集装单元化工具之一，是与搬运装卸机械配套使用的重要的集装器具。,10
就性质而言自由贸易区可分为：商业自由区和工业自由区。,就性质而言自由贸易区可分为：商业自由区和工业自由区。,10
配货是使用各种拣选设备和传输装置，将存放的物品，按客户要求分拣出来，配备齐全，送入指定发货地点。,配货是使用各种拣选设备和传输装置，将存放的物品，按客户要求分拣出来，配备齐全，送入指定发货地点。,10
顾客下单、订单处理、拣货、配货、配装、配送、流通加工和进货构成了配送作业的流程,配送作业流程：顾客下单；订单处理；拣货；配货；配装；配送；流通加工；进货；,10
补货方式包括：拼/整箱补货、托盘补货、货位补货、其他补货方式（直接补货、复合式补货、自动补货）,补货方式包括：拼/整箱补货、托盘补货、货位补货、其他补货方式（直接补货、复合式补货、自动补货）,10
进货是配送的准备工作或基础工作，它是配送的基础环节，又是决定配送成败与否、规模大小的最基础环节，也是决定配送效益高低的关键环节。具体是指配送中心根据客户的需要，为配送业务的顺利实施，而从事的组织商品货源和进行商品存储的一系列活动。,进货是配送的准备工作或基础工作，它是配送的基础环节，又是决定配送成败与否、规模大小的最基础环节，也是决定配送效益高低的关键环节。具体是指配送中心根据客户的需要，为配送业务的顺利实施，而从事的组织商品货源和进行商品存储的一系列活动。,10
对物流价值的事前计划与控制以及事后的分析与评估，以衡量配送中心配送系统和配送活动全过程的投入与产出状况的分析技术与方法是配送中心绩效评价。,配送中心绩效评价是对物流价值的事前计划与控制以及事后的分析与评估，以衡量配送中心配送系统和配送活动全过程的投入与产出状况的分析技术与方法。,10
场所效用指同种"物"由于空间场所不同，其使用价值的实现程度则不同，其效益的实现也不同。由于改变场所而最大发挥使用价值，最大限度提高了投入产出比，这就称之为"场所效用"。,场所效用的含义是：同种"物"由于空间场所不同，其使用价值的实现程度则不同，其效益的实现也不同。由于改变场所而最大发挥使用价值，最大限度提高了投入产出比，这就称之为"场所效用"。,10
《物流术语》中规定运输是：用专用运输设备将物品从一个地点向另一地点运送。其中包括集货、分配、搬运、中转、装入、卸下、分散等一系列操作。,《物流术语》中规定运输是：用专用运输设备将物品从一个地点向另一地点运送。其中包括集货、分配、搬运、中转、装入、卸下、分散等一系列操作。,10
合理选择备货作业方式包括：全面分拣、批处理分拣、分区分拣、分组分拣。,合理选择备货作业方式有：全面分拣、批处理分拣、分区分拣、分组分拣。,10
将客户所需的物品通过运输工具以及一定的运输路线和其他设备送达到客户手中的物流活动称为送货。,将客户所需的物品通过运输工具以及一定的运输路线和其他设备送达到客户手中的物流活动称为送货。,10
目前广泛应用的绩效管理框架主要是关键业绩指标法（KPI）和平衡计分法（BSC）。,目前被广泛应用的绩效管理框架主要是关键业绩指标法（Key Performance Indicator，KPI）和平衡计分法（Balance Scorecard，BSC）。,10
按货架的发展分类：传统式货架、新型货架,按货架的发展分类：传统式货架、新型货架,10
垫垛指物品堆码前，使用适合的衬垫材料进行铺垫。,垫垛指物品堆码前，使用适合的衬垫材料进行铺垫。,10
搬运：是指在同一场所内，对物品进行空间移动的作业过程。,搬运：是指在同一场所内，对物品进行空间移动的作业过程。,10
规划是用来拟定根据决策目标应采取的行动，是一种方法；为整个物流活动过程选择合理的作业方式、正确的行动方向是规划的目的。,规划是一种方法，用来拟定根据决策目标应采取的行动；规划的目的是为整个物流活动过程选择合理的作业方式、正确的行动方向。,10
如果一个物品经常进出库，我们就叫它“高物动量”。,如果一个物品经常进出库，我们就叫它“高物动量”。,10
物流企业的绩效考核非常重要，通过物流绩效考核系统的建立、考核、评估等环节进行物流绩效的管理。,物流企业的绩效考核起着非同小可的作用，我们通过物流绩效考核系统的建立、考核、评估等环节进行物流绩效的管理。,10
配货作业：把拣取分类完成的货品经过配货检查过程后，装入容器和做好标示，再运到发货准备区，待装车后发送。,配货作业：把拣取分类完成的货品经过配货检查过程后，装入容器和做好标示，再运到发货准备区，待装车后发送。,10
在一个具有若干供应点及若干个需求点的经济区域内，选一个地址设置配送中心的规划过程称为配送中心选址。,配送中心选址是指在一个具有若干供应点及若干个需求点的经济区域内，选一个地址设置配送中心的规划过程。,10
包装作业成本分析与控制包括以下内容：使用物美价廉的包装材料；包装作业机械化，提高包装效率；采用大包装，尽量使包装简单化，节约包装材料；利用原有包装，加贴新标签。,包装作业成本分析与控制包括以下内容：使用物美价廉的包装材料；包装作业机械化，提高包装效率；采用大包装，尽量使包装简单化，节约包装材料；利用原有包装，加贴新标签。,10
订单分批按方式可分为：总合计量分批、固定订单分批、时窗分批、智能型分批四种。,订单分批按方式可分为：总合计量分批、固定订单分批、时窗分批、智能型分批四种。,10
顾客下单、订单处理、拣货、配货、配装、配送、流通加工和进货构成了配送作业的流程,顾客下单、订单处理、拣货、配货、配装、配送、流通加工和进货构成了配送作业的流程,10
叉车的分类：平衡重式叉车、前移式叉车、侧面叉车、拣选叉车、电动插腿式叉车、多方向堆垛叉车、集装箱叉车。,叉车的分类：平衡重式叉车、前移式叉车、侧面叉车、拣选叉车、电动插腿式叉车、多方向堆垛叉车、集装箱叉车。,10
RFID的特点：非接触识别，它能穿透雪、雾、冰、涂料、尘垢、高速运动的物体和条形码无法使用的恶劣环境阅读标签，并且阅读速度极快；保密性强。,RFID的特点：非接触识别，它能穿透雪、雾、冰、涂料、尘垢、高速运动的物体和条形码无法使用的恶劣环境阅读标签，并且阅读速度极快；保密性强。,10
电子标签拣货系统（DPS）：一种计算机辅助的无纸化的拣货系统，采用计算机传输拣选指令到操作者面前的显示屏上，导引操作者完成规定的作业。,一种无纸化的拣货系统，采用计算机传输拣选指令到显示屏上，导引操作者完成规定的作业。,7
矩阵制缺点包括：组织成员不是固定的，易产生临时的观念，对工作有一定的影响；双重领导，难免发生矛盾，也不易分清责任。,矩阵制缺点：组织成员不是固定的，易产生临时的观念，对工作有一定的影响；双重领导，难免发生矛盾，也不易分清责任。,10
常见的堆垛机有：桥式堆垛机、巷道式堆垛机。,常见的堆垛机有：巷道式堆垛机。,5
绩效也称为业绩、效绩、成效等，反映人们从事某一种活动所产生的成绩和成果。,绩效也称为业绩、效绩、成效等，反映人们从事某一种活动所产生的成绩和成果。,10
仓储货品的验收问题的主要内容有三项：一是验收项目，二是验收方法，三是验收期限。,仓储货品的验收问题的主要内容有：验收项目，验收方法。,7
作业方法简单；订单处理前置时间短；导入容易且作业弹性大；作业员责任明确，作业容易组织；拣货后不必再进行分类作业是按单分拣的优点。,作业方法简单；订单处理前置时间短；导入容易且作业弹性大；作业员责任明确，作业容易组织；拣货后不必再进行分类作业是按单分拣的优点。,10
正确且迅速地集合客户所订购的货品是拣货的目的。,拣货目的：正确且迅速地集合客户所订购的货品。,10
仓储成本是物流成本的重要组成部分，对物流成本的高低有直接影响。,仓储成本是物流成本的重要组成部分，对物流成本的高低有直接影响。,10
集装作业：是指运用集装箱、仓储笼、托盘、集装袋等进行集装后搬运的作业。,集装作业：是指运用集装箱、仓储笼、托盘、集装袋等进行集装后搬运的作业。,10
利用旋转货架完成分货工作就是旋转架分货。,利用旋转货架完成分货工作就是旋转架分货。,10
合同自双方达成合意时成立的合同称为诺成合同,诺成合同，是指合同自双方达成合意时成立。,10
拣货作业过程，由生成拣货资料、行走或搬运、拣取和分类与集中几个环节组成。,生成拣货资料、行走、拣取和分类。,7
子标签拣选系统：以一连串装于货架格位上的电子显示装置取代拣货单，指示应拣取的物品及数量，辅助捡货人员的作业，减少目视寻找的时间。,子标签拣选系统：以一连串装于货架格位上的电子显示装置取代拣货单，指示应拣取的物品及数量，辅助捡货人员的作业，减少目视寻找的时间。,10
储备库主要的功能是储存和保管物资，这也是仓库的最传统、最基本的功能。,储备库主要的功能是储存和保管物资，这也是仓库的最传统、最基本的功能。,10
ERP的功能模块：供应链管理、销售与市场、分销、客户服务、财务管理、制造管理、库存管理、工厂与设备维护、人力资源、报表、制造执行系统、工作流服务和企业信息系统等。此外，还包括金融投资管理、质量管理、运输管理、项目管理、法规与标准和过程控制等补充功能。,ERP的功能模块：供应链管理、销售与市场、分销、客户服务、财务管理、制造管理、库存管理、工厂与设备维护、人力资源、报表、制造执行系统、工作流服务和企业信息系统等。此外，还包括金融投资管理、质量管理、运输管理、项目管理、法规与标准和过程控制等补充功能。,10
综合化机械作业，是指利用两种以上工具进行的装卸搬运作业。,综合化机械作业，是指利用两种以上工具进行的装卸搬运作业。,10
入库申请的流程是存货人提出申请，仓储企业做出评估，拒绝则不予收货，接受则通知存货人并制定入库计划。,入库申请的流程是存货人提出申请，仓储企业做出评估，拒绝则不予收货，接受则通知存货人并制定入库计划。,10
目前广泛应用的绩效管理框架主要是关键业绩指标法（KPI）和平衡计分法（BSC）。,目前广泛应用的绩效管理框架主要是关键业绩指标法（KPI）和平衡计分法（BSC）。,10
危险品仓库是保管危险物品并能对危险品起一定防护作用的仓库,危险品仓库是保管危险物品并能对危险品起一定防护作用的仓库,10
节约里程法的意义包括：满足客户配送需要；减少配送车辆使用；减少配送车辆使用。,节约里程法的意义包括：满足客户配送需要；减少配送车辆使用；减少配送车辆使用。,10
订单：是配送中心开展配送业务的依据。配送中心接到客户订单以后需要对订单加以处理，据以安排分拣、补货、配货、送货等作业环节。,订单是配送中心开展配送业务的依据，配送中心接到客户订单以后需要对订单加以处理，据以安排分拣、补货、配货、送货等作业环节。,10
电子标签拣货系统是一种计算机辅助的无纸化的拣货系统，采用计算机传输拣选指令到操作者面前的显示屏上，导引操作者完成规定的作业。,电子标签拣货系统（DPS）：一种计算机辅助的无纸化的拣货系统，采用计算机传输拣选指令到操作者面前的显示屏上，导引操作者完成规定的作业。,10
每一个企业经营评估的重要指标是人员作业效率的考核分析。人员利用率评估主要包含：人员编制、员工待遇、人员效率。,对于人员作业效率的考核分析，是每一个企业经营评估的重要指标。人员利用率评估主要从三个方面着手：  人员编制 、员工待遇、人员效率。,10
物品出库的形式包括：送货、收货人自提、过户 、取样、转仓,物品出库的形式包括：送货、收货人自提、过户 、取样、转仓,10
配送中心总体设计流程包括：基础规划资料分析；规划条件设定；作业功能规划；作业流程规划；作业区域布局规划。,配送中心总体设计流程包括：基础规划资料分析；规划条件设定；作业功能规划；作业流程规划；作业区域布局规划。,10
配送中心作业区域规划原则包括：要求物料搬运流程通畅、短捷、方便、往返避免交叉；选择适当的建筑模式，采用适当的高度、跨度、柱距，充分利用建筑的空间；合理划分和协调配置储存区域和其他区作业场所；为工作人员创造安全、舒适的工作环境；具备适应变化的柔性；投资合理。,配送中心作业区域规划原则包括：要求物料搬运流程通畅、短捷、方便、往返避免交叉；选择适当的建筑模式，采用适当的高度、跨度、柱距，充分利用建筑的空间；合理划分和协调配置储存区域和其他区作业场所；为工作人员创造安全、舒适的工作环境；具备适应变化的柔性；投资合理。,10
分拣是将物品按品种、出入库先后顺序进行分门别类堆放的作业。,分拣是将物品按品种、出入库先后顺序进行分门别类堆放的作业。,10
人至货前拣选方式：人到储存区寻找并取出所需要的货物。,人至货前拣选方式：人到储存区寻找并取出所需要的货物。,10
货至人前拣选方式：将货物移动到人或拣选机旁，由人或拣选机拣选出所需的货物。,货至人前拣选方式：将货物移动到人或拣选机旁，由人或拣选机拣选出所需的货物。,10
订单是配送中心开展配送业务的依据，配送中心接到客户订单以后需要对订单加以处理，据以安排分拣、补货、配货、送货等作业环节。,订单是配送中心开展配送业务的依据，配送中心接到客户订单以后需要对订单加以处理，据以安排分拣、补货、配货、送货等作业环节。,10
仓储货品的验收问题的主要内容有三项：一是验收项目，二是验收方法，三是验收期限。,仓储货品的验收问题的主要内容有三项：一是验收项目，二是验收方法，三是验收期限。,10
按订单拣取作业原理是：分拣人员或分拣工具巡回于各个储存点，按订单所列商品及数量，将客户所订购的商品逐一由仓库储位或其它作业区中取出，然后集中在一起的一种传统拣货方式，又称作“摘果式”、“人到货前式”、“订单别拣选” 或“单一顺序拣选”等。  ,按订单拣取作业原理是：分拣人员或分拣工具巡回于各个储存点，按订单所列商品及数量，将客户所订购的商品逐一由仓库储位或其它作业区中取出，然后集中在一起的一种传统拣货方式，又称作“摘果式”、“人到货前式”、“订单别拣选” 或“单一顺序拣选”等。  ,10
通过对组织内部流程的输入端、输出端的关键参数进行设置、取样、计算、分析，衡量流程绩效的一种目标式量化管理指标，把企业的战略目标分解为可操作的工作目标的工具，企业绩效管理的基础是关键绩效指标。,关键绩效指标：是通过对组织内部流程的输入端、输出端的关键参数进行设置、取样、计算、分析，衡量流程绩效的一种目标式量化管理指标，是把企业的战略目标分解为可操作的工作目标的工具，是企业绩效管理的基础。,10
综合库是用于存放多种不同属性物品的仓库。,综合库是用于存放多种不同属性物品的仓库。,10
ERP的功能模块：供应链管理、销售与市场、分销、客户服务、财务管理、制造管理、库存管理、工厂与设备维护、人力资源、报表、制造执行系统、工作流服务和企业信息系统等。此外，还包括金融投资管理、质量管理、运输管理、项目管理、法规与标准和过程控制等补充功能。,ERP的功能模块：供应链管理、销售与市场、财务管理、制造管理、库存管理、工厂与设备维护、人力资源、工作流服务和企业信息系统等。,5
货垛的五距：墙距、柱、顶距、灯距和垛距。,货垛的五距：墙距、柱、顶距、灯距和垛距。,10
备货作业成本分析与控制包括：合理选择备货作业方式；合理安排仓储空间，降低备货成本；加强货位管理，提高备货作业效率。,备货作业成本分析与控制包括：合理选择备货作业方式；合理安排仓储空间，降低备货成本；加强货位管理，提高备货作业效率。,10
物品的养护作业：指对不同物品保护、保养、质量控制的活动。,物品的养护作业：指对不同物品保护、保养、质量控制的活动。,10
装卸搬运作业成本分析与控制包含以下方面：合理选择装卸搬运机具；提高物品装卸搬运的活性化与可运性；利用重力作用，减少能量消耗；合理选择装卸搬运方式；改进装卸搬运作业方法。,装卸搬运作业成本分析与控制包含以下方面：合理选择装卸搬运机具；提高物品装卸搬运的活性化与可运性；利用重力作用，减少能量消耗；合理选择装卸搬运方式；改进装卸搬运作业方法。,10
合同自双方达成合意时成立的合同称为诺成合同,合同自双方达成合意时成立的合同称为诺成合同,10
重力式货架是指在货架每层的通道上，都安装有一定坡度的、带有轨道的 导轨，入库的单元货物在重力的作用下，由入库端流向出库端。 ,重力式货架是指在货架每层的通道上，由入库端流向出库端。,4
订单处理的方式包括人工处理和计算机处理。,订单处理的方式包括人工处理和计算机处理。,10
按单分拣的优点：作业方法简单；订单处理前置时间短；导入容易且作业弹性大；作业员责任明确，作业容易组织；拣货后不必再进行分类作业。,按单分拣的优点：作业方法简单；订单处理前置时间短；导入容易且作业弹性大；作业员责任明确，作业容易组织；拣货后不必再进行分类作业。,10
物品验收方式分为全验和抽验。,物品验收方式分为全验和抽验。,10
灭火器简略地分为三种：泡沫灭火器、干粉灭火器和二氧化碳灭火器。,灭火器简略地分为三种：泡沫灭火器、干粉灭火器和二氧化碳灭火器。,10
验收期限：自物品和验收资料全部送达保管人之日起，至验收报告送出之日止。,验收期限：自物品和验收资料全部送达保管人之日起，至验收报告送出之日止。,10
RFID的特点包括：保密性强；非接触识别，能穿透雪、雾、涂料、高速运动的物体和条形码无法使用的恶劣环境阅读标签，并且阅读速度极快；。,RFID的特点：非接触识别，它能穿透雪、雾、冰、涂料、尘垢、高速运动的物体和条形码无法使用的恶劣环境阅读标签，并且阅读速度极快；保密性强。,10
反映仓储作业设施设备利用程度的指标：仓库货物周转率；单位面积储存量；仓库空间利润率；设备利润率。,反映仓储作业设施设备利用程度的指标：仓库货物周转率；单位面积储存量。,5
反映仓储作业消耗的指标：材料、燃料和动力消耗指标；平均储存费用,反映仓储作业消耗的指标：材料、燃料和动力消耗指标；,8
分拣作业目的在于正确且迅速地集合顾客所订购的商品。,分拣作业目的在于正确且迅速地集合顾客所订购的商品。,10
退货物流作业区的作业项目有：退货；退货卸货；退货点收；退货责任确认；退货良品处理；退货瑕疵品处理；退货废品处理。,退货物流作业区的作业项目包括：退货；退货卸货；退货点收；退货责任确认；退货良品处理；退货瑕疵品处理；退货废品处理。,10
检尺长：指检量木材实际长度时，按照某项标准的规定经过进或舍之后的尺寸。,检尺长：指检量木材实际长度时，按照某项标准的规定经过进或舍之后的尺寸。,10
条形码的识读原理：根据不同颜色的物体，其反射的可见光的波长不同，光电转换器接收到不同强弱的反射光信号，并转换成相应的电信号并进行放大后输出。,光电转换器接收到不同强弱的反射光信号，并转换成相应的电信号并进行放大后输出。,7
企业资源计划即 ERP (Enterprise Resource Planning)，由美国 Gartner Group 公司于1990年提出。企业资源计划是 MRP II（企业制造资源计划）下一代的制造业系统和资源计划软件。,企业资源计划即 ERP (Enterprise Resource Planning)，由美国 Gartner Group 公司于1990年提出。企业资源计划是 MRP II（企业制造资源计划）下一代的制造业系统和资源计划软件。,10
按货架的可动性分类：固定式货架、移动式货架、旋转式货架、组合货架、可调式货架、流动储存货架,按货架的可动性分类：固定式货架、移动式货架、旋转式货架、组合货架、可调式货架、流动储存货架,10
分拣是使配送不同于一般形式的送货以及其他物流形式的重要支持性工作，是配送中心作业系统的核心。,分拣是使配送不同于一般形式的送货以及其他物流形式的重要支持性工作，是配送中心作业系统的核心。,10
设施是指除人员、设备以外的一切硬件，具体包括办公室、休息室、仓储区、拣货区、收货区和出货区等等区域空间的安排及一些消防设施等周边硬件。 ,设施，指除人员、设备以外的一切硬件，包括办公室、休息室、仓储区、拣货区、收货区和出货区等等区域空间的安排及一些消防设施等周边硬件。 ,10
直线职能制的优点：命令统一，职责明确，专业化管理程度较高，组织稳定。它既保证了管理体系的集中统一，又可以在各级行政负责人的领导下，充分发挥各专业管理机构的作用；直线职能制的缺点：职能部门之间缺乏交流、协作和配合，职能部门与行政负责人之间容易产生摩擦，组织系统的灵敏度较低，下级的许多工作要直接向上层领导报告请示才能处理，常常造成企业运作效率低下。,直线职能制的优缺点：优点——命令统一，职责明确，专业化管理程度较高，组织稳定。它既保证了管理体系的集中统一，又可以在各级行政负责人的领导下，充分发挥各专业管理机构的作用；缺点——职能部门之间缺乏交流、协作和配合，职能部门与行政负责人之间容易产生摩擦，组织系统的灵敏度较低，下级的许多工作要直接向上层领导报告请示才能处理，常常造成企业运作效率低下。,10
拣货作业流程：生成拣货资料、行走或搬运、拣取和分类与集中。,拣货作业流程：生成拣货资料、行走或搬运、拣取和分类与集中。,10
按订单拣取是指分别按每份订单拣货，即分拣完一个订单后，再分拣下一个订单。,按订单拣货，分拣完一个订单后，再分拣下一个订单。,9
账面盘点法又称永续盘点法，是指将每一种物品分别设立“存货帐卡”，然后将每一种物品的出入库数量及有关信息记录在账面上，逐笔汇总出账面库存结余数，保证随时可以从电脑或账册上查悉物品的出入库信息及库存结余量。 ,账面盘点法又称永续盘点法，是指将每一种物品分别设立“存货帐卡”，然后将每一种物品的出入库数量及有关信息记录在账面上，逐笔汇总出账面库存结余数，保证随时可以从电脑或账册上查悉物品的出入库信息及库存结余量。 ,10
TMS的功能模块包括：调度管理、车辆管理、配件管理、油耗管理、费用结算、人员管理、资源管理、财务核算、绩效考核、车辆跟踪、业务跟踪、业务统计、白卡管理、监控中心系统、账单查询等,TMS的功能模块包括：调度管理、车辆管理、配件管理、油耗管理、费用结算、人员管理、资源管理、财务核算、绩效考核、车辆跟踪、业务跟踪、业务统计、白卡管理、监控中心系统、账单查询等,10
集货是指将分散的或小批量的物品集中起来，以便进行运输、配送的作业 。,将分散的或小批量的物品集中起来，以便进行运输的作业 。,8
商品养护员是指对库存商品进行保养维护的人员。,对库存商品进行保养维护的人员。,9
分拣作业：将用户所订的货物从储存保管处取出，按用户分类、集中、处理、放置。,分拣作业就是将用户所订的货物从储存保管处取出，按用户分类、集中、处理、放置。,10
