保管成本指在保管过程中为保管物品而发生的全部费用。,保管成本指在保管过程中为保管物品而发生的全部费用。,10
备料保税仓库，是指加工贸易企业存储为加工复出口产品所进口的原材料、设备及其零部件的保税仓库，所存保税货物仅限于供应本企业。,备料保税仓库，是指加工贸易企业存储为加工复出口产品所进口的原材料、设备及其零部件的保税仓库，所存保税货物仅限于供应本企业。,10
按订单或出库单的要求，从储存场所选出物品，并放置指定地点的作业就是拣选,拣选是按订单或出库单的要求，从储存场所选出物品，并放置指定地点的作业,10
直线职能制的优缺点：优点——命令统一，职责明确，专业化管理程度较高，组织稳定。它既保证了管理体系的集中统一，又可以在各级行政负责人的领导下，充分发挥各专业管理机构的作用；缺点——职能部门之间缺乏交流、协作和配合，职能部门与行政负责人之间容易产生摩擦，组织系统的灵敏度较低，下级的许多工作要直接向上层领导报告请示才能处理，常常造成企业运作效率低下。,直线职能制的优缺点：优点——命令统一，职责明确，专业化管理程度较高，组织稳定。它既保证了管理体系的集中统一，又可以在各级行政负责人的领导下，充分发挥各专业管理机构的作用；缺点——职能部门之间缺乏交流、协作和配合，职能部门与行政负责人之间容易产生摩擦，组织系统的灵敏度较低，下级的许多工作要直接向上层领导报告请示才能处理，常常造成企业运作效率低下。,10
拣货作业：依据顾客的订货要求或配送中心的送货计划，迅速、准确地将商品向从其储位或其他区域拣取出来，并按一定的方式进行分类、集中，等待配装送货的作业过程。,拣货作业：依据顾客的订货要求或配送中心的送货计划，迅速、准确地将商品向从其储位或其他区域拣取出来，并按一定的方式进行分类、集中，等待配装送货的作业过程。,10
订单处理的基本流程：订单准备；订单传输；订单录入；订单履行；订单跟踪。,订单处理的基本流程：订单准备；订单传输；订单录入；订单履行；订单跟踪。,10
人至货前拣选方式是指人(或人乘拣选车)到储存区寻找并取出所需要的货物。,人至货前拣选方式是指人(或人乘拣选车)到储存区寻找并取出所需要的货物。,10
ERP的功能模块包含：供应链管理、销售与市场、分销、客户服务、财务管理、制造管理、库存管理、工厂与设备维护、人力资源、报表、制造执行系统、工作流服务和企业信息系统等。此外，还包括金融投资管理、质量管理、运输管理、项目管理、法规与标准和过程控制等补充功能。,ERP的功能模块包含：供应链管理、销售与市场、分销、客户服务、财务管理、制造管理、库存管理、工厂与设备维护、人力资源、报表、制造执行系统、工作流服务和企业信息系统等。此外，还包括金融投资管理、质量管理、运输管理、项目管理、法规与标准和过程控制等补充功能。,10
流通加工：物品在从生产领域向消费领域流动的过程中，流通主体（即流通当事人）为了完善流通服务功能，促进销售、维护产品质量和提高物流效率而开展的一项活动。,促进销售、维护产品质量和提高物流效率而开展的一项活动。,4
订单处理的基本原则包括：使客户产生信赖感；尽量缩短订货周期；提供紧急订货 ；减少缺货现象；不忽略小客户；装配力求完整；提供对客户有利的包装；要随时提供订单处理的情况。,订单处理的基本原则：要使客户产生信赖感；尽量缩短订货周期；提供紧急订货 ；减少缺货现象；不忽略小客户；装配力求完整；提供对客户有利的包装；要随时提供订单处理的情况。,10
输送设备一般为连续输送设备，常见的输送设备有如下几种类型：带式输送机、螺旋输送机、滚筒输送机、滚轮式输送机、链条式输送机、链板输送线。,输送设备一般为连续输送设备，常见的输送设备有如下几种类型：带式输送机、螺旋输送机、滚筒输送机、滚轮式输送机、链条式输送机、链板输送线。,10
分拣是使配送不同于一般形式的送货以及其他物流形式的重要支持性工作，是配送中心作业系统的核心。,使配送不同于一般形式的送货以及其他物流形式的重要支持性工作。,8
运输系统包括运输线路、运输节点 、运输工具及运输的参与者。,运输系统包括运输线路、运输节点 、运输工具及运输的参与者。,10
人至货前拣选方式是指人(或人乘拣选车)到储存区寻找并取出所需要的货物。,人寻找并取出所需要的货物。,6
电子标签按功能可以分为：传统电子标签、智慧型电子标签。,电子标签按功能可以分为：传统电子标签、智慧型电子标签。,10
电子标签功能：品种、库位指示； 出库数量显示；操作完成信息确认,出库数量显示和操作完成信息确认,6
电子标签功能包括：品种、库位指示； 出库数量显示；操作完成信息确认,电子标签功能包括：品种、库位指示； 出库数量显示；操作完成信息确认,10
矩阵制缺点：组织成员不是固定的，易产生临时的观念，对工作有一定的影响；双重领导，难免发生矛盾，也不易分清责任。,组织成员不是固定的，易产生临时的观念；不易分清责任。,4
按订单拣取：分别按每份订单拣货，即分拣完一个订单后，再分拣下一个订单。,按订单拣取：分别按每份订单拣货，即分拣完一个订单后，再分拣下一个订单。,10
在一个具有若干供应点及若干个需求点的经济区域内，选一个地址设置配送中心的规划过程称为配送中心选址。,在一个具有若干供应点及若干个需求点的经济区域内，选一个地址设置配送中心的规划过程称为配送中心选址。,10
配装：配送中心按存货客户的指令，根据目的地、发货数量、线路等对待发货的物品进行配车并装车的活动。,配装：配送中心按存货客户的指令，根据目的地、发货数量、线路等对待发货的物品进行配车并装车的活动。,10
配装是指进行搭配装载以充分利用运能、运力。在单个客户配送数量不能达到车辆的有效运载负荷时，就存在如何集中不同客户的配送货物的问题。,配装是指进行搭配装载以充分利用运能、运力。在单个客户配送数量不能达到车辆的有效运载负荷时，就存在如何集中不同客户的配送货物的问题。,10
直线制的优点：结构简单、权力集中、责任分明、命令统一、联系简捷；直线制的缺点：管理职能集中由一人承担，容易发生较大失误；部门间协调差 。,直线制的优缺点：优点——结构简单、权力集中、责任分明、命令统一、联系简捷；缺点——管理职能集中由一人承担，容易发生较大失误；部门间协调差 。,10
配货是指使用各种拣选设备和传输装置，将存放的货物，按客户的要求分拣出来，配备齐全，送入指定发货区。,配货：使用各种拣选设备和传输装置，将存放的货物，按客户的要求分拣出来，配备齐全，送入指定发货区。,10
分拣的动作由自动的机械负责，电子信息输入后自动完成分拣作业，无须人手介入。大致可分为合流、分拣识别、分拣分流和分运四个分段。,分拣的动作由自动的机械负责，电子信息输入后自动完成分拣作业，无须人手介入。大致可分为合流、分拣识别、分拣分流和分运四个分段。,10
空间利用率是进出货作业绩效评估的指标,空间利用率是进出货作业绩效评估的指标,10
订单内容确认、订单接收、订单资料输出 、存货查询及依订单分配存货等组成了订单处理的主要内容 。,订单处理的主要内容：订单内容确认；订单接收；订单资料输出 ；存货查询及依订单分配存货 。,10
在仓储企业中，一般包括保管员、理货员、商品养护员等岗位。,在仓储企业中，一般包括保管员、理货员、商品养护员等岗位。,10
绩效也称为业绩、效绩、成效等，反映人们从事某一种活动所产生的成绩和成果。,绩效（Performance），也称为业绩、效绩、成效等，反映的是人们从事某一种活动所产生的成绩和成果。,10
将分散的或小批量的物品集中起来，以便进行运输、配送的作业就是集货 。,将分散的或小批量的物品集中起来，以便进行运输、配送的作业就是集货 。,10
定期订货法，是指及时根据预先确定的时间间隔按其订购物品，补充库存的一种库存控制方法。,定期订货法，是指及时根据预先确定的时间间隔按其订购物品，补充库存的一种库存控制方法。,10
入库作业管理包括：收货；组盘和注册；上架,收货；组盘和注册；,6
配送：是指在经济合理区域范围内，根据用户的要求，对物品进行拣选、加工、包装、分割、组配等作业，并按时送达指定地点的物流活动,对物品进行拣选、加工、包装、分割、组配等作业，并按时送达指定地点的物流活动,7
订单处理作业所面临的问题包括：如何简化在零售商的订单处理方面的订货作业；如何提高订货资料；正确性如何快速下单。如何简化在配送中心的订单处理方面的接单作业；如何处理量多繁杂的订货资料；如何掌握订单进度。,订单处理作业所面临的问题：在零售商的订单处理方面——如何简化订货作业；如何提高订货资料；正确性如何快速下单。在配送中心的订单处理方面——如何简化接单作业；如何处理量多繁杂的订货资料；如何掌握订单进度。,10
计件是按照件数供货或以件数为计量单位的物品，做数量验收时的清点件数。,计件是按照件数供货或以件数为计量单位的物品，做数量验收时的清点件数。,10
配送运输又称输配送，对整个运输过程有着很重要的影响。属于末端运输、支线运输。,配送运输又称输配送，对整个运输过程有着很重要的影响。属于末端运输、支线运输。,10
检尺径：指检量木材直径时（原木检量小头直径），按照某项标准的规定经过进或舍之后的尺寸。,检尺径：指检量木材直径时（原木检量小头直径），按照某项标准的规定经过进或舍之后的尺寸。,10
物品储存的安全性指标，主要用发生的各种事故的大小和次数来表示，主要有人身伤亡、仓库失火、爆炸、被盗、机械损坏事故几类。,物品储存的安全性指标，主要用发生的各种事故的大小和次数来表示，主要有人身伤亡、仓库失火、爆炸、被盗、机械损坏事故几类。,10
呆废货品率是测定配送中心货品损耗影响资金积压的状况。,呆废货品率是测定配送中心货品损耗影响资金积压的状况。,10
按单分拣作业方法特点：易于实施，配货准确度高，不易出错；各客户分拣相互没有约束；分拣完一个货单，货物便配齐，货物不再落地暂存，可直接装车配送；客户数量不受限制，可在很大范围内波动；对机械化、自动化没有严格要求，不受设备水平限制。,按单分拣作业方法特点：易于实施，配货准确度高，不易出错；各客户分拣相互没有约束；分拣完一个货单，货物便配齐，货物不再落地暂存，可直接装车配送；客户数量不受限制，可在很大范围内波动；对机械化、自动化没有严格要求，不受设备水平限制。,10
人员负担和时间耗用是配送中心绩效评价的指标,配送中心绩效评价指标——人员负担和时间耗用,10
入库计划主要包括空余库位的选择，货架的选择，搬运方法等。,入库计划主要包括空余库位的选择，货架的选择，搬运方法等。,10
条码的类别包括 ：商品条码、物流条码和二维条码。,条码的类别包括 ：商品条码、物流条码和二维条码。,10
典型的仓储企业组织结构形式：直线制组织结构形式、直线职能制组织结构形式、事业部制组织结构形式。,直线制组织结构形式和事业部制组织结构形式。,6
为了顺利、有序、方便地向客户发送商品，对组织来的各种货物进行整理，并依据订单要求进行组合的部门就是配送中心。,配送中心：为了顺利、有序、方便地向客户发送商品，对组织来的各种货物进行整理，并依据订单要求进行组合的过程。,10
诺成合同，是指合同自双方达成合意时成立。,诺成合同，是指合同自双方达成合意时成立。,10
订单：是配送中心开展配送业务的依据。配送中心接到客户订单以后需要对订单加以处理，据以安排分拣、补货、配货、送货等作业环节。,订单：是配送中心开展配送业务的依据。配送中心接到客户订单以后需要对订单加以处理，据以安排分拣、补货、配货、送货等作业环节。,10
保证分货的准确、快速或识别货物的流向是配货印贴标签的作用。,保证分货的准确、快速或识别货物的流向是配货印贴标签的作用。,10
空间布局的主要形式有：物品堆垛；利用货架；采用架上平台。,采用架上平台。,3
储位编码：是指将库房、货场、货棚、货架按物品存放的具体位置顺序，统一编列号码，并作出明显标志。,储位编码是指将库房、货架按物品存放的具体位置顺序，统一编列号码，并作出明显标志。,8
仓库管理员是仓库内从事与物品仓储迆管理有关工作的一线操作人员的统称，包括直接从事物品收发、出入库、分拣、理货等工作的人员，不含装卸工，简称仓管员。,是仓库内从事与物品仓储迆管理有关工作的一线操作人员的统称，包括直接从事物品收发、分拣、理货等工作的人员，含装卸工。,7
按订单拣取：分别按每份订单拣货，即分拣完一个订单后，再分拣下一个订单。,按订单拣取是指分别按每份订单拣货，即分拣完一个订单后，再分拣下一个订单。,10
气调仓库是用于存放要求控制库内氧气和二氧化碳浓度的物品的仓库。,气调仓库是用于存放要求控制库内氧气和二氧化碳浓度的物品的仓库。,10
配送中的储存有储备及暂存两种形态。 配送储备储备数量较大，储存更加有计划性。暂存，是具体执行日配送时，按分拣配货要求，在理货场地所做的少量储存准备 。,有储备及暂存两种形态。 配送储备储备数量较大，储存更加有计划性。暂存按分拣配货要求，在理货场地所做的少量储存准备 。,8
依据拣货信息，拣货信息包括多种形式，最常见的就是拣货单是拣货的依据。,依据拣货信息，拣货信息包括多种形式，最常见的就是拣货单是拣货的依据。,10
选择装卸搬运设备的原则有：利用重力的原则； 经济合理的原则；适应性原则；顺畅性原则,选择装卸搬运设备的原则有：利用重力的原则； 经济合理的原则；适应性原则；顺畅性原则,10
散装作业：是指对粉末状物品及大批不适宜包装的散货进行的装卸搬运活动。,散装作业：是指对粉末状物品及大批不适宜包装的散货进行的装卸搬运活动。,10
分拣作业：将用户所订的货物从储存保管处取出，按用户分类、集中、处理、放置。,分拣作业：将用户所订的货物从储存保管处取出，按用户分类、集中、处理、放置。,10
检斤是按重量供货或以重量为计量单位的物品，做数量验收时的称重。,检斤是按重量供货或以重量为计量单位的物品，做数量验收时的称重。,10
盘点前的准备：决策准备；人员准备；环境整理； 盘点工具准备；盘点前指导。,盘点前的准备：决策准备；人员准备；环境整理； 盘点工具准备；盘点前指导。,10
分货中心是主要从事分货工作的物流据点。,分货中心是主要从事分货工作的物流据点。,10
仓储合同，又称仓储保管合同，是保管人储存存货人交付的仓储物，存货人支付仓储费的合同。,仓储合同是储存存货人交付的仓储物，存货人支付仓储费的合同。,8
配送运输有短距离、小批量、高频率的特点。,配送运输有短距离、小批量、高频率的特点。,10
输送设备一般为连续输送设备，常见的输送设备有如下几种类型：带式输送机、螺旋输送机、滚筒输送机、滚轮式输送机、链条式输送机、链板输送线。,输送设备一般为连续输送设备，常见的输送设备有如下几种类型：滚筒输送机、滚轮式输送机、链条式输送机、链板输送线。,7
订单处理的基本原则：要使客户产生信赖感；尽量缩短订货周期；提供紧急订货 ；减少缺货现象；不忽略小客户；装配力求完整；提供对客户有利的包装；要随时提供订单处理的情况。,使客户产生信赖感；尽量缩短订货周期；提供紧急订货 ；减少缺货现象；忽略小客户；装配力求完整；提供对客户有利的包装。,7
常见的堆垛机有：桥式堆垛机、巷道式堆垛机。,常见的堆垛机有：桥式堆垛机、巷道式堆垛机。,10
整合按单分拣方式是指为了提高输配送的效率，将某一地区的订单整合成一张拣货单，做一次分拣后，集中捆包出库。主要应用在每个订单只有一种品项的场合，它属于按单分拣的一种变形方式。,整合按单分拣方式，主要应用在每个订单只有一种品项的场合，为了提高输配送的效率，将某一地区的订单整合成一张拣货单，做一次分拣后，集中捆包出库。它属于按单分拣的一种变形方式,10
仓储成本分析与控制包括以下方面： 存储成本分析与控制；装卸搬运作业成本分析与控制；备货作业成本分析与控制；人工费用的分析与控制；包装作业成本分析与控制；机具物料和燃料的成本控制；提高仓储服务质量，降低仓储成本；降低机会成本和风险成本。,仓储成本分析与控制包括以下方面： 存储成本分析与控制；装卸搬运作业成本分析与控制；备货作业成本分析与控制；降低机会成本和风险成本。,5
储位划分的形式包括：仓库内部平面布局、仓库内部空间布局。,储位划分的形式包括：仓库内部空间布局。,5
供货商单证主要包括：送货单、装箱单、磅码单、原产地证明等。,供货商单证主要包括：送货单、装箱单、磅码单、原产地证明等。,10
运输方式按运输范畴可分为干线运输；支线运输；二次运输和厂内运输。,运输方式按运输范畴可分为干线运输；支线运输；二次运输和厂内运输。,10
批量分拣的优点：合计后拣货、效率较高；盘亏较少。,合计后拣货、效率较高；盘亏较多。,6
呆品废品改善对策包括：A验收时力求严格把关，防止不合格货品混入；B检讨储存方法、设备与养护条件，防止货品变质。特别是对货品的有效期管理更应重视。C随时掌握库存水平。特别是滞销品的处置，减少呆废货品积压资金和占用库存。,呆品废品改善对策：A验收时力求严格把关，防止不合格货品混入；B检讨储存方法、设备与养护条件，防止货品变质。特别是对货品的有效期管理更应重视。C随时掌握库存水平。特别是滞销品的处置，减少呆废货品积压资金和占用库存。,10
将分散的或小批量的物品集中起来，以便进行运输、配送的作业就是集货 。,集货是指将分散的或小批量的物品集中起来，以便进行运输、配送的作业 。,10
退货物流作业区的作业项目有：退货；退货卸货；退货点收；退货责任确认；退货良品处理；退货瑕疵品处理；退货废品处理。,退货物流作业区的作业项目有：退货；退货卸货；退货点收；退货责任确认；退货良品处理；退货瑕疵品处理；退货废品处理。,10
物品吞吐量；平均收发货时间；物品及时验收率；全员劳动生产率；库存物品的周转率；仓库作业效率。反映仓储作业效率的指标,反映仓储作业效率的指标：物品吞吐量；平均收发货时间；物品及时验收率；全员劳动生产率；库存物品的周转率；仓库作业效率。,10
仓储成本主要指货物保管的各种支出，其中一部分为仓储设施和设备的投资，另一部分则为仓储保管作业中的活劳动或者物化劳动的消耗，消耗主要包括工资和能源消耗等。,货物的仓储成本主要是指货物保管的各种支出，其中一部分为仓储设施和设备的投资，另一部分则为仓储保管作业中的活劳动或者物化劳动的消耗，主要包括工资和能源消耗等。,10
配货作业的基本流程：分类；配货检查；包装、打捆,配货作业的基本流程：分类；配货检查；包装、打捆,10
验收期限：自物品和验收资料全部送达保管人之日起，至验收报告送出之日止。,自验收资料送达保管人之日起，至验收报告送出之日止。,7
材料、燃料和动力消耗指标；平均储存费用反映仓储作业消耗的指标,材料、燃料和动力消耗指标；平均储存费用反映仓储作业消耗的指标,10
配送运输又称输配送，对整个运输过程有着很重要的影响。属于末端运输、支线运输。,配送运输（又称输配送）属于运输中的末端运输、支线运输，对整个运输过程有着很重要的影响。,10
流通加工转运是指物品抵达仓库后，经过卸货、验收、搬运、分拣、加工、再分拣等作业环节后送抵客户手中。,流通加工转运是指物品抵达仓库后，经过卸货、验收、搬运、分拣、加工、再分拣等作业环节后送抵客户手中。,10
配送中心的选址应考虑的因素包含：尽量靠近客户；尽可能靠近交通干线；尽量将配送中心建在地价便宜、交通方便的郊区；尽可能考虑人力资源方面的问题；尽可能考虑地理、气候等自然条件方面的问题。,配送中心的选址应考虑的因素：尽量靠近客户；尽可能靠近交通干线；尽量将配送中心建在地价便宜、交通方便的郊区；尽可能考虑人力资源方面的问题；尽可能考虑地理、气候等自然条件方面的问题。,10
直接或间接用于收货、储存保管、拣货配货、流通加工、信息处理和配送作业的费用的总和是配送中心的物流成本。,配送中心的物流成本，是指直接或间接用于收货、储存保管、拣货配货、流通加工、信息处理和配送作业的费用的总和。,10
轮式托盘也称物流台车，是在箱式托盘、柱式托盘或网箱托盘的底部装上脚轮而成，既便于机械化搬运，又宜于短距离的人力移动。 ,轮式托盘是在箱式托盘、柱式托盘或网箱托盘的底部装上脚轮而成，便于机械化搬运和短距离的人力移动。,9
出库作业管理：波次运算；补货；拣选；复核包装；集货；发货,出库作业管理包括：波次运算；补货；拣选；复核包装；集货；发货,10
集中存储货物，保持合理的库存；控制物流费用；避免迂回运输和相向运输等不合理现象；提高服务质量，扩大销售等都是配送中心规划目标应考虑的因素。,配送中心规划目标应考虑的因素：集中存储货物，保持合理的库存；控制物流费用；避免迂回运输和相向运输等不合理现象；提高服务质量，扩大销售。,10
盘点方法包含：以帐或物区分的帐面存货盘点、实物存货盘点；以盘点区域区分的全面盘点、分类盘点；以盘点周期区分的定期盘点、不定期盘点。,盘点方法包含：以帐或物区分的帐面存货盘点、实物存货盘点；以盘点区域区分的全面盘点、分类盘点；以盘点周期区分的定期盘点、不定期盘点。,10
拣货依据：依据拣货信息，拣货信息包括多种形式，最常见的就是拣货单。,依据拣货信息，常见的有拣货单。,6
补货作业：从保管区域将货品移到另一个为了做订单拣取的动管拣货区域，然后将此迁移作业做书面上之处理。,补货作业包括从保管区域(Reserve Area)将货品移到另一个为了做订单拣取(Order Picking)的动管拣货区域(Home Area)，然后将此迁移作业做书面上之处理。,10
危险性物品：指具有易燃、爆炸、腐蚀、毒害、放射射线等性质的物品。,危险性物品：指具有易燃、爆炸、腐蚀、毒害、放射射线等性质的物品。,10
TMS的功能模块：调度管理、车辆管理、配件管理、油耗管理、费用结算、人员管理、资源管理、财务核算、绩效考核、车辆跟踪、业务跟踪、业务统计、白卡管理、监控中心系统、账单查询等,TMS的功能模块：调度管理、车辆管理、配件管理、油耗管理、费用结算、人员管理、资源管理、财务核算、绩效考核、车辆跟踪、业务跟踪、业务统计、白卡管理、监控中心系统、账单查询等,10
在仓库中，质量验收主要指物品外观检验，由仓库保管职能机构组织进行。,在仓库中，质量验收主要指物品外观检验，由仓库保管职能机构组织进行。,10
货架方式：指使用货架进行堆码。,货架方式：指使用货架进行堆码。,10
盘点的意义包括：A查清实际库存数量；B计算企业资产的损益，掌握盘点周期内的亏盈状况；C发现仓库、现场管理中存在的问题，加强管理，防微杜渐；D掌握物品的存货水平，呆滞物料的情况及物品的周转状况；E发现并清除吊滞料，理整环境、清除死角；F有效整顿仓库、现场等物料存放。,盘点的意义：A查清实际库存数量；B计算企业资产的损益，掌握盘点周期内的亏盈状况；C发现仓库、现场管理中存在的问题，加强管理，防微杜渐；D掌握物品的存货水平，呆滞物料的情况及物品的周转状况；E发现并清除吊滞料，理整环境、清除死角；F有效整顿仓库、现场等物料存放。,10
物流节点（logistics nodes）是指物流网络中连接物流线路的结节之处。 ,物流节点（logistics nodes）是指物流网络中连接物流线路的结节之处。 ,10
电子标签拣货系统的原理：在每一个货位安装数字显示器，利用计算机的控制将订单信息传输到数字显示器内，拣货人员根据数字显示器所显示的数字拣货，拣完货之后按确认钮即完成拣货工作，也叫做电子标签拣货。,电子标签拣货系统的原理：在每一个货位安装数字显示器，利用计算机的控制将订单信息传输到数字显示器内，拣货人员根据数字显示器所显示的数字拣货，拣完货之后按确认钮即完成拣货工作，也叫做电子标签拣货。,10
物流相关分析就是对配送中心各区域间传递的物流量大小进行分析，用物流量的大小表示各功能区域之间的物流相关程度，分为A、E、I、O、U五个等级。,物流相关分析就是对配送中心各区域间传递的物流量大小进行分析，用物流量的大小表示各功能区域之间的物流相关程度，分为A、E、I、O、U五个等级。,10
盘点作业：为了对库存商品的数量进行有效控制，并查清商品在库房中的质量状况，必须定期对各储存场所进行清点作业的过程。 ,盘点作业：为了对库存商品的数量进行有效控制，并查清商品在库房中的质量状况，必须定期对各储存场所进行清点作业的过程。 ,10
整合按单分拣方式是指为了提高输配送的效率，将某一地区的订单整合成一张拣货单，做一次分拣后，集中捆包出库。主要应用在每个订单只有一种品项的场合，它属于按单分拣的一种变形方式。,整合按单分拣方式是指为了提高输配送的效率，将某一地区的订单整合成一张拣货单，做一次分拣后，集中捆包出库。主要应用在每个订单只有一种品项的场合，它属于按单分拣的一种变形方式。,10
重心法的假设条件包括：需求量集中于某一点上；不同地点物流节点的建设费用、运营费用相同；运输费用随运输距离成正比增加；运输线路为空间直线。,重心法的假设条件包括：需求量集中于某一点上；不同地点物流节点的建设费用、运营费用相同；运输费用随运输距离成正比增加；运输线路为空间直线。,10
分拣的动作由自动的机械负责，电子信息输入后自动完成分拣作业，无须人手介入。大致有四个分段：合流、分拣识别、分拣分流和分运。,分拣的动作由自动的机械负责，电子信息输入后自动完成分拣作业，无须人手介入。大致可分为合流、分拣识别、分拣分流和分运四个分段。,10
所有分货作业过程全部由人根据订单、拣货单来进行，作业由人、货架、集货设备（货箱、托盘等）配合完成，不借助任何电脑或自动化的辅助设备就是人工分货。,所有分货作业过程全部由人根据订单、拣货单来进行，作业由人、货架、集货设备（货箱、托盘等）配合完成，不借助任何电脑或自动化的辅助设备就是人工分货。,10
库存是指储存作为今后按预定的目的使用而处于闲置或非生产状态的物品。,库存是指储存作为今后按预定的目的使用而处于闲置或非生产状态的物品。,10
分区分类应考虑的因素：物品所需的储存条件；仓库空间利用率；地坪载荷；仓库设施条件。,分区分类应考虑的因素：物品所需的储存条件；仓库空间利用率；地坪载荷；仓库设施条件。,10
设施空间利用率的影响因素包括货架、仓储区的储存量、每天理货场地的配货周转次数等。,设施空间利用率要考虑货架、仓储区的储存量、每天理货场地的配货周转次数等。,10
配送中心规划的过程：配送中心的设立时机规划；配送中心的类型选择；配送中心的所有者选择；配送中心的地址选择；配送中心的规模选择；配送中心的设施设备选择；配送中心的组织结构和岗位设置。,配送中心规划的程序：配送中心的设立时机规划；配送中心的类型选择；配送中心的所有者选择；配送中心的地址选择；配送中心的规模选择；配送中心的设施设备选择；配送中心的组织结构和岗位设置。,10
运输管理系统是一种“供应链”分组下的操作软件。它能通过多种方法和其他相关的操作一起提高物流的管理能力；,运输管理系统是一种“供应链”分组下的操作软件。它能通过多种方法和其他相关的操作一起提高物流的管理能力；,10
订单是配送中心开展配送业务的依据，配送中心接到客户订单以后需要对订单加以处理，据以安排分拣、补货、配货、送货等作业环节。,接到客户订单以后需要对订单加以处理。,2
配送中心总体设计流程包括：基础规划资料分析；规划条件设定；作业功能规划；作业流程规划；作业区域布局规划。,配送中心总体设计流程：基础规划资料分析；规划条件设定；作业功能规划；作业流程规划；作业区域布局规划。,10
货物的仓储成本主要是指货物保管的各种支出，其中一部分为仓储设施和设备的投资，另一部分则为仓储保管作业中的活劳动或者物化劳动的消耗，主要包括工资和能源消耗等。,货物的仓储成本主要是指货物保管的各种支出，其中一部分为仓储设施和设备的投资，另一部分则为仓储保管作业中的活劳动或者物化劳动的消耗，主要包括工资和能源消耗等。,10
送货作业：包含将货物装车并实际配送。需要事先规划配送区域的划分或配送线路的安排，由配送路线选用的先后次序来决定商品装车顺序，并在商品配送途中进行商品跟踪、控制。,送货作业：包含将货物装车并实际配送。需要事先规划配送区域的划分或配送线路的安排，由配送路线选用的先后次序来决定商品装车顺序，并在商品配送途中进行商品跟踪、控制。,10
直线制；职能制；直线职能制；矩阵制等构成了常见的组织结构形式。,直线制；职能制；直线职能制；矩阵制等构成了常见的组织结构形式。,10
按订单拣取作业原理是：分拣人员或分拣工具巡回于各个储存点，按订单所列商品及数量，将客户所订购的商品逐一由仓库储位或其它作业区中取出，然后集中在一起的一种传统拣货方式，又称作“摘果式”、“人到货前式”、“订单别拣选” 或“单一顺序拣选”等。  ,分拣人员或分拣工具巡回于各个储存点，按订单所列商品及数量，将客户所订购的商品逐一由仓库储位或其它作业区中取出，然后集中在一起的一种传统拣货方式。,9
RFID由标签、阅读器和天线组成。,RFID的组成：标签、阅读器和天线。,10
湿度指空气中水蒸气含量的程度。通常以绝对湿度、饱和湿度、相对湿度来衡量。,湿度指空气中水蒸气含量的程度。通常以绝对湿度、饱和湿度、相对湿度来衡量。,10
叉车的分类：平衡重式叉车、前移式叉车、侧面叉车、拣选叉车、电动插腿式叉车、多方向堆垛叉车、集装箱叉车。,叉车的分类：平衡重式叉车、前移式叉车、侧面叉车、多方向堆垛叉车、集装箱叉车。,7
仓储管理的对象是库存物品，仓储管理是在库物品保管的方法和措施的总和。,仓储管理的对象是库存物品，仓储管理是在库物品保管的方法和措施的总和。,10
库区布局是指一个仓库的各个组成部分，如库存、货棚、货场、辅助建筑物、铁路专运线、库内道路、附属固定设备等。,库区布局是指一个仓库的各个组成部分，如库存、辅助建筑物、铁路专运线、库内道路、附属固定设备等。,8
标准损耗率：是指保管某物品所容许繁盛的自然损耗。,标准损耗率：是指保管某物品所容许繁盛的自然损耗。,10
时间最容易看出整体作业能力的高低，是衡量效率最直接的因素。,时间是衡量效率最直接的因素，最容易看出整体作业能力的高低。,10
物流中心是从事物流活动且具有完善信息网络的场所或组织。,物流中心是从事物流活动且具有完善信息网络的场所或组织。,10
